Drug name,DrugBank ID,ProteinName,UniProt ID
Bromocriptine,DB01200,5-hydroxytryptamine receptor 2A,P28223
Bromocriptine,DB01200,5-hydroxytryptamine receptor 1B,P28222
Bromocriptine,DB01200,5-hydroxytryptamine receptor 2C,P28335
Bromocriptine,DB01200,D(1B) dopamine receptor,P21918
Bromocriptine,DB01200,D(1A) dopamine receptor,P21728
Bromocriptine,DB01200,Alpha-1A adrenergic receptor,P35348
Bromocriptine,DB01200,Alpha-1B adrenergic receptor,P35368
Bromocriptine,DB01200,Alpha-1D adrenergic receptor,P25100
Bromocriptine,DB01200,5-hydroxytryptamine receptor 7,P34969
Buclizine,DB00354,Muscarinic acetylcholine receptor M1,P11229
Buclizine,DB00354,Histamine H1 receptor,P35367
Budesonide,DB01222,Glucocorticoid receptor,P04150
Budesonide,DB01222,Annexin A1,P04083
Bumetanide,DB00887,Solute carrier family 12 member 1,Q13621
Bumetanide,DB00887,Solute carrier family 12 member 2,P55011
Bumetanide,DB00887,Solute carrier family 12 member 4,Q9UP95
Bumetanide,DB00887,Solute carrier family 12 member 5,Q9H2X9
Bumetanide,DB00887,Cystic fibrosis transmembrane conductance regulator,P13569
Bupivacaine,DB00297,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Bupivacaine,DB00297,Prostaglandin E2 receptor EP1 subtype,P34995
Buprenorphine,DB00921,Kappa-type opioid receptor,P41145
Buprenorphine,DB00921,Mu-type opioid receptor,P35372
Buprenorphine,DB00921,Delta-type opioid receptor,P41143
Buprenorphine,DB00921,Nociceptin receptor,P41146
Bupropion,DB01156,Sodium-dependent dopamine transporter,Q01959
Bupropion,DB01156,Sodium-dependent noradrenaline transporter,P23975
Bupropion,DB01156,Neuronal acetylcholine receptor subunit alpha-3,P32297
Bupropion,DB01156,5-hydroxytryptamine receptor 3A,P46098
Buspirone,DB00490,5-hydroxytryptamine receptor 1A,P08908
Buspirone,DB00490,D(2) dopamine receptor,P14416
Buspirone,DB00490,D(3) dopamine receptor,P35462
Buspirone,DB00490,D(4) dopamine receptor,P21917
Buspirone,DB00490,Alpha-1A adrenergic receptor,P35348
Buspirone,DB00490,Alpha-1B adrenergic receptor,P35368
Buspirone,DB00490,Alpha-1D adrenergic receptor,P25100
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Butalbital,DB00241,Neuronal acetylcholine receptor subunit alpha-4,P43681
Butalbital,DB00241,Neuronal acetylcholine receptor subunit alpha-7,P36544
Butalbital,DB00241,Glutamate receptor 2,P42262
Butalbital,DB00241,"Glutamate receptor ionotropic, kainate 2",Q13002
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit delta,O14764
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit pi,O00591
Butalbital,DB00241,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Butorphanol,DB00611,Kappa-type opioid receptor,P41145
Butorphanol,DB00611,Delta-type opioid receptor,P41143
Butorphanol,DB00611,Mu-type opioid receptor,P35372
Cabergoline,DB00248,D(2) dopamine receptor,P14416
Cabergoline,DB00248,5-hydroxytryptamine receptor 2B,P41595
Cabergoline,DB00248,D(3) dopamine receptor,P35462
Cabergoline,DB00248,5-hydroxytryptamine receptor 2A,P28223
Cabergoline,DB00248,Alpha-2B adrenergic receptor,P18089
Cabergoline,DB00248,5-hydroxytryptamine receptor 1D,P28221
Cabergoline,DB00248,D(4) dopamine receptor,P21917
Cabergoline,DB00248,Alpha-2A adrenergic receptor,P08913
Cabergoline,DB00248,5-hydroxytryptamine receptor 1A,P08908
Cabergoline,DB00248,Alpha-2C adrenergic receptor,P18825
Cabergoline,DB00248,D(1B) dopamine receptor,P21918
Cabergoline,DB00248,D(1A) dopamine receptor,P21728
Cabergoline,DB00248,5-hydroxytryptamine receptor 1B,P28222
Cabergoline,DB00248,5-hydroxytryptamine receptor 2C,P28335
Cabergoline,DB00248,5-hydroxytryptamine receptor 7,P34969
Cabergoline,DB00248,Alpha-1A adrenergic receptor,P35348
Cabergoline,DB00248,Alpha-1B adrenergic receptor,P35368
Cabergoline,DB00248,Alpha-1D adrenergic receptor,P25100
Cabergoline,DB00248,Beta-1 adrenergic receptor,P08588
Cabergoline,DB00248,Beta-2 adrenergic receptor,P07550
Cabergoline,DB00248,D(1A) dopamine receptor,P21728
Cabergoline,DB00248,D(1B) dopamine receptor,P21918
Caffeine,DB00201,Adenosine receptor A1,P30542
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Q07343
Caffeine,DB00201,Ryanodine receptor 1,P21817
Caffeine,DB00201,Adenosine receptor A2a,P29274
Caffeine,DB00201,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",P54750
Caffeine,DB00201,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Q01064
Caffeine,DB00201,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Q14123
Caffeine,DB00201,"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A",Q9Y233
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",P27815
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",Q07343
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",Q08493
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Q08499
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 7B",Q9NP56
Caffeine,DB00201,"cGMP-dependent 3',5'-cyclic phosphodiesterase",O00408
Caffeine,DB00201,"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Q14432
Caffeine,DB00201,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Q13370
Caffeine,DB00201,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074
Caffeine,DB00201,"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'",P51160
Caffeine,DB00201,"Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A",Q9HCR9
Caffeine,DB00201,"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A",Q13946
Caffeine,DB00201,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",O60658
Caffeine,DB00201,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B",O95263
Caffeine,DB00201,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A",O76083
Caffeine,DB00201,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha",P16499
Caffeine,DB00201,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",P35913
Caffeine,DB00201,DNA-dependent protein kinase catalytic subunit,P78527
Caffeine,DB00201,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",O00329
Caffeine,DB00201,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",P42336
Caffeine,DB00201,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",P42338
Caffeine,DB00201,"Inositol 1,4,5-trisphosphate receptor type 1",Q14643
Caffeine,DB00201,"Inositol 1,4,5-trisphosphate receptor type 2",Q14571
Caffeine,DB00201,"Inositol 1,4,5-trisphosphate receptor type 3",Q14573
Caffeine,DB00201,Serine-protein kinase ATM,Q13315
Caffeine,DB00201,Adenosine receptor A2b,P29275
Caffeine,DB00201,Adenosine receptor A3,P0DMS8
Caffeine,DB00201,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",Q01064
Caffeine,DB00201,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Q08499
Caffeine,DB00201,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Q13370
Caffeine,DB00201,"cGMP-specific 3',5'-cyclic phosphodiesterase",O76074
Calcitriol,DB00136,Vitamin D3 receptor,P11473
Calcitriol,DB00136,Homeobox protein Hox-A10,P31260
Candesartan,DB13919,Type-1 angiotensin II receptor,P30556
Capecitabine,DB01101,Thymidylate synthase,P04818
Captopril,DB01197,Angiotensin-converting enzyme,P12821
Captopril,DB01197,72 kDa type IV collagenase,P08253
Captopril,DB01197,Matrix metalloproteinase-9,P14780
Captopril,DB01197,Leukotriene A-4 hydrolase,P09960
Captopril,DB01197,B1 bradykinin receptor,P46663
Carbamazepine,DB00564,Sodium channel protein type 1 subunit alpha,P35498
Carbamazepine,DB00564,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Carbamazepine,DB00564,Sodium channel protein type 11 subunit alpha,Q9UI33
Carbamazepine,DB00564,Sodium channel protein type 2 subunit alpha,Q99250
Carbamazepine,DB00564,Sodium channel protein type 3 subunit alpha,Q9NY46
Carbamazepine,DB00564,Sodium channel protein type 4 subunit alpha,P35499
Carbamazepine,DB00564,Sodium channel protein type 5 subunit alpha,Q14524
Carbamazepine,DB00564,Sodium channel protein type 7 subunit alpha,Q01118
Carbamazepine,DB00564,Sodium channel protein type 8 subunit alpha,Q9UQD0
Carbamazepine,DB00564,Sodium channel protein type 9 subunit alpha,Q15858
Carbamazepine,DB00564,Neuronal acetylcholine receptor subunit alpha-4,P43681
Carbamazepine,DB00564,Nuclear receptor subfamily 1 group I member 2,O75469
Carbidopa,DB00190,Aromatic-L-amino-acid decarboxylase,P20711
Carmustine,DB00262,"Glutathione reductase, mitochondrial",P00390
Carteolol,DB00521,Beta-1 adrenergic receptor,P08588
Carteolol,DB00521,Beta-2 adrenergic receptor,P07550
Carvedilol,DB01136,Beta-1 adrenergic receptor,P08588
Carvedilol,DB01136,Alpha-1A adrenergic receptor,P35348
Carvedilol,DB01136,NADH dehydrogenase [ubiquinone] 1 subunit C2,O95298
Carvedilol,DB01136,Beta-2 adrenergic receptor,P07550
Carvedilol,DB01136,Vascular endothelial growth factor A,P15692
Carvedilol,DB01136,Natriuretic peptides B,P16860
Carvedilol,DB01136,Gap junction alpha-1 protein,P17302
Carvedilol,DB01136,Potassium voltage-gated channel subfamily H member 2,Q12809
Carvedilol,DB01136,Vascular cell adhesion protein 1,P19320
Carvedilol,DB01136,Alpha-1D adrenergic receptor,P25100
Carvedilol,DB01136,Alpha-1B adrenergic receptor,P35368
Carvedilol,DB01136,Alpha-2C adrenergic receptor,P18825
Carvedilol,DB01136,Alpha-2B adrenergic receptor,P18089
Carvedilol,DB01136,Alpha-2A adrenergic receptor,P08913
Carvedilol,DB01136,E-selectin,P16581
Carvedilol,DB01136,Hypoxia-inducible factor 1-alpha,Q16665
Carvedilol,DB01136,Inward rectifier potassium channel 4,P48050
Carvedilol,DB01136,Inward rectifier potassium channel 2,P63252
Carvedilol,DB01136,Alpha-1A adrenergic receptor,P35348
Carvedilol,DB01136,Alpha-1B adrenergic receptor,P35368
Carvedilol,DB01136,Alpha-1D adrenergic receptor,P25100
Cefazolin,DB01327,Penicillin-binding protein 1A,P02918
Cefazolin,DB01327,Penicillin-binding protein 1B,P02919
Cefazolin,DB01327,Penicillin-binding protein 1C,P76577
Cefazolin,DB01327,Penicillin-binding protein 2,P0AD65
Cefazolin,DB01327,Peptidoglycan synthase FtsI,P0AD68
Cefazolin,DB01327,Serum paraoxonase/arylesterase 1,P27169
Cefazolin,DB01327,Interleukin-15,P40933
Cefazolin,DB01327,Interleukin-2,P60568
Cefdinir,DB00535,Penicillin-binding protein 2,P08149
Cefdinir,DB00535,PBP3,Q60FT7
Cefdinir,DB00535,Myeloperoxidase,P05164
Celecoxib,DB00482,Prostaglandin G/H synthase 2,P35354
Celecoxib,DB00482,3-phosphoinositide-dependent protein kinase 1,O15530
Celecoxib,DB00482,Carbonic anhydrase 2,P00918
Celecoxib,DB00482,Carbonic anhydrase 3,P07451
Celecoxib,DB00482,Cadherin-11,H3BUU9
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit delta,O14764
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit pi,O00591
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Chlordiazepoxide,DB00475,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Chloroprocaine,DB01161,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Chloroprocaine,DB01161,Sodium-dependent dopamine transporter,Q01959
Chloroquine,DB00608,Tumor necrosis factor,P01375
Chloroquine,DB00608,Glutathione S-transferase A2,P09210
Chloroquine,DB00608,Toll-like receptor 9,Q9NR96
Chloroquine,DB00608,Glutathione S-transferase,Q8MU52
Chloroquine,DB00608,High mobility group protein B1,P09429
Chloroquine,DB00608,Glutathione S-transferase Mu 1,P09488
Chloroquine,DB00608,Angiotensin-converting enzyme 2,Q9BYF1
Chlorothiazide,DB00880,Carbonic anhydrase 1,P00915
Chlorothiazide,DB00880,Carbonic anhydrase 2,P00918
Chlorothiazide,DB00880,Solute carrier family 12 member 3,P55017
Chlorpromazine,DB00477,D(2) dopamine receptor,P14416
Chlorpromazine,DB00477,D(1A) dopamine receptor,P21728
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 1A,P08908
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 2A,P28223
Chlorpromazine,DB00477,Alpha-1A adrenergic receptor,P35348
Chlorpromazine,DB00477,Alpha-1B adrenergic receptor,P35368
Chlorpromazine,DB00477,Histamine H1 receptor,P35367
Chlorpromazine,DB00477,Potassium voltage-gated channel subfamily H member 2,Q12809
Chlorpromazine,DB00477,D(1A) dopamine receptor,P21728
Chlorpromazine,DB00477,D(1B) dopamine receptor,P21918
Chlorpromazine,DB00477,D(3) dopamine receptor,P35462
Chlorpromazine,DB00477,D(4) dopamine receptor,P21917
Chlorpromazine,DB00477,D(1B) dopamine receptor,P21918
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 2C,P28335
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 2A,P28223
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 2B,P41595
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 2C,P28335
Chlorpromazine,DB00477,Alpha-1A adrenergic receptor,P35348
Chlorpromazine,DB00477,Alpha-1B adrenergic receptor,P35368
Chlorpromazine,DB00477,Alpha-1D adrenergic receptor,P25100
Chlorpromazine,DB00477,Alpha-2A adrenergic receptor,P08913
Chlorpromazine,DB00477,Alpha-2B adrenergic receptor,P18089
Chlorpromazine,DB00477,Alpha-2C adrenergic receptor,P18825
Chlorpromazine,DB00477,Muscarinic acetylcholine receptor M1,P11229
Chlorpromazine,DB00477,Muscarinic acetylcholine receptor M3,P20309
Chlorpromazine,DB00477,Sphingomyelin phosphodiesterase,P17405
Chlorpromazine,DB00477,Calmodulin,P0DP23
Chlorpromazine,DB00477,Alpha-1-acid glycoprotein 1,P02763
Chlorpromazine,DB00477,Alpha-1-acid glycoprotein 2,P19652
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 6,P50406
Chlorpromazine,DB00477,5-hydroxytryptamine receptor 7,P34969
Chlorpromazine,DB00477,Histamine H4 receptor,Q9H3N8
Chlorpropamide,DB00672,ATP-binding cassette sub-family C member 8,Q09428
Chlorthalidone,DB00310,Solute carrier family 12 member 1,Q13621
Chlorthalidone,DB00310,Carbonic anhydrase 1,P00915
Chlorzoxazone,DB00356,Calcium-activated potassium channel subunit alpha-1,Q12791
Cholecalciferol,DB00169,Vitamin D3 receptor,P11473
Choline,DB00122,Acetylcholinesterase,P22303
Choline,DB00122,Choline-phosphate cytidylyltransferase B,Q9Y5K3
Choline,DB00122,Choline-phosphate cytidylyltransferase A,P49585
Choline,DB00122,Phospholipase D2,O14939
Choline,DB00122,Cholinesterase,P06276
Choline,DB00122,Phospholipase D1,Q13393
Choline,DB00122,Phosphoethanolamine/phosphocholine phosphatase,Q8TCT1
Choline,DB00122,Neuronal acetylcholine receptor subunit alpha-7,P36544
Ciclesonide,DB01410,Glucocorticoid receptor,P04150
Ciclopirox,DB01188,Sodium/potassium-transporting ATPase subunit alpha-1,P05023
Cimetidine,DB00501,Histamine H2 receptor,P25021
Ciprofloxacin,DB00537,DNA topoisomerase 4 subunit A,P43702
Ciprofloxacin,DB00537,DNA gyrase subunit A,P43700
Ciprofloxacin,DB00537,DNA topoisomerase 2-alpha,P11388
Ciprofloxacin,DB00537,Potassium voltage-gated channel subfamily H member 2,Q12809
Ciprofloxacin,DB00537,DNA gyrase subunit A,P0AES4
Ciprofloxacin,DB00537,DNA topoisomerase 4 subunit A,P0C1U9
Ciprofloxacin,DB00537,DNA topoisomerase 4 subunit B,Q59192
Ciprofloxacin,DB00537,DNA gyrase subunit A,P05653
Ciprofloxacin,DB00537,Multidrug resistance protein MdtK,C3T8E2
Ciprofloxacin,DB00537,Gyrase A,B4YQT9
Ciprofloxacin,DB00537,DNA gyrase subunit A,P20831
Cisapride,DB00604,5-hydroxytryptamine receptor 4,Q13639
Cisapride,DB00604,5-hydroxytryptamine receptor 3A,P46098
Cisapride,DB00604,5-hydroxytryptamine receptor 2A,P28223
Cisapride,DB00604,Potassium voltage-gated channel subfamily H member 2,Q12809
Cisplatin,DB00515,DNA-3-methyladenine glycosylase,P29372
Cisplatin,DB00515,Alpha-2-macroglobulin,P01023
Cisplatin,DB00515,Serotransferrin,P02787
Cisplatin,DB00515,Copper transport protein ATOX1,O00244
Citalopram,DB00215,Sodium-dependent serotonin transporter,P31645
Citalopram,DB00215,Histamine H1 receptor,P35367
Cladribine,DB00242,Ribonucleoside-diphosphate reductase large subunit,P23921
Cladribine,DB00242,Ribonucleoside-diphosphate reductase subunit M2,P31350
Cladribine,DB00242,Ribonucleoside-diphosphate reductase subunit M2 B,Q7LG56
Cladribine,DB00242,DNA polymerase alpha catalytic subunit,P09884
Cladribine,DB00242,DNA polymerase epsilon catalytic subunit A,Q07864
Cladribine,DB00242,DNA polymerase epsilon subunit 2,P56282
Cladribine,DB00242,DNA polymerase epsilon subunit 3,Q9NRF9
Cladribine,DB00242,DNA polymerase epsilon subunit 4,Q9NR33
Cladribine,DB00242,Purine nucleoside phosphorylase,P00491
